"Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FGP","TH","THA","THP","TW","TWA","TWP","eFGP","FT","FTA","FTP","ORB","DRB","TRB","AST","STL","BLK","TOV","FOU","PTS","FA","PER","TSP","TPAr","FTr","ORBP","DRBP","TRBP","ASTP","STLP","BLKP","TOVP","USGP","OWS","DWS","WS","WSPFE","OBPM","DBPM","BPM","VORP","PG","SG","SF","PF","C"
"446","Jan Vesely","PF","23","TOT","54","1","14.4","1.6","3.2",".514","0.0","0.0",".000","1.6","3.2",".514",".514","0.4","1.0",".339","1.5","2.0","3.5","0.4","1.0","0.6","0.7","2.2","3.6","0","12.7",".498",".000",".324","11.7","16.1","13.9","4.0","3.4","3.5","15.4","13.2","0.2","1.4","1.6",".097","-2.7","3.2","0.5","0.5","0","0","0","1","0"
"447","Charlie Villanueva","PF","29","DET","20","0","9.0","1.8","4.6",".380","0.7","2.8",".250","1.1","1.8",".583",".457","0.4","0.7",".571","0.3","1.4","1.7","0.3","0.2","0.3","0.4","0.8","4.6","0","12.7",".469",".609",".152","3.5","17.9","10.3","5.5","1.1","2.2","6.7","25.0","0.0","0.1","0.1",".034","-1.2","-4.0","-5.2","-0.1","0","0","0","1","0"
"448","Nikola Vucevic","C","23","ORL","57","57","31.8","6.2","12.2",".507","0.0","0.0",".000","6.2","12.2",".507",".507","1.8","2.4",".766","3.2","7.7","11.0","1.8","1.1","0.8","2.0","3.0","14.2","0","18.8",".536",".000",".197","11.5","27.6","19.5","10.2","1.7","2.0","12.9","21.8","1.8","2.6","4.4",".116","-1.0","1.5","0.5","1.2","0","0","0","1","1"
"449","Sasha Vujacic","SG","29","LAC","2","0","5.0","1.0","2.5",".400","0.5","1.0",".500","0.5","1.5",".333",".500","0.0","0.0",".000","0.0","1.5","1.5","0.0","0.5","0.0","1.5","0.5","2.5","1","1.5",".500",".400",".000","0.0","32.2","16.7","0.0","5.0","0.0","37.5","35.3","-0.1","0.0","-0.1","-0.289","-16.7","-3.4","-20.1","0.0","0","1","0","0","0"
"450","Dwyane Wade","SG","32","MIA","54","53","32.9","7.7","14.1",".545","0.2","0.6",".281","7.5","13.5",".557",".551","3.5","4.8",".733","1.1","3.4","4.5","4.7","1.5","0.5","3.0","2.0","19.0","1","22.0",".588",".042",".339","4.4","12.3","8.5","25.5","2.3","1.4","15.5","27.9","3.5","2.0","5.5",".149","1.9","0.3","2.3","1.9","1","1","0","0","0"
"451","Dion Waiters","SG","22","CLE","70","24","29.6","6.1","14.2",".433","1.3","3.6",".368","4.8","10.6",".455",".479","2.3","3.4",".685","0.5","2.3","2.8","3.0","0.9","0.2","2.2","2.2","15.9","1","14.0",".508",".252",".237","1.7","9.0","5.3","18.2","1.6","0.7","12.3","26.9","0.3","1.3","1.6",".037","-0.2","-1.8","-2.1","0.0","0","1","1","0","0"
"452","Kemba Walker","PG","23","CHA","73","73","35.8","6.2","15.7",".393","1.5","4.5",".333","4.7","11.2",".417",".441","3.9","4.6",".837","0.5","3.7","4.2","6.1","1.2","0.4","2.3","1.8","17.7","0","16.8",".499",".286",".295","1.7","11.6","6.6","29.7","1.7","1.0","11.6","25.8","1.8","3.3","5.1",".093","1.6","0.2","1.7","2.4","1","0","0","0","0"
"453","John Wall","PG","23","WAS","82","82","36.3","7.1","16.3",".433","1.3","3.8",".351","5.7","12.5",".458",".473","3.9","4.8",".805","0.5","3.6","4.1","8.8","1.8","0.5","3.6","2.7","19.3","0","19.5",".524",".230",".295","1.5","11.7","6.5","40.5","2.6","1.1","16.3","27.4","4.0","4.0","7.9",".128","2.4","0.2","2.6","3.4","1","0","0","0","0"
"454","Gerald Wallace","SF","31","BOS","58","16","24.4","2.0","4.0",".504","0.3","1.1",".297","1.7","2.9",".584",".546","0.8","1.7",".465","0.6","3.0","3.7","2.5","1.3","0.2","1.7","1.4","5.1","0","10.0",".543",".278",".439","2.8","14.5","8.5","14.9","2.7","0.8","26.1","11.6","-0.3","1.6","1.3",".043","-2.5","2.2","-0.3","0.6","0","0","1","1","0"
"455","Casper Ware","PG","24","PHI","9","0","12.9","2.0","4.7",".429","0.8","2.3",".333","1.2","2.3",".524",".512","0.6","0.7",".833","0.0","1.0","1.0","1.1","0.9","0.0","0.6","1.2","5.3","0","13.0",".538",".500",".143","0.0","8.7","4.2","13.7","3.3","0.0","10.1","18.1","0.1","0.1","0.2",".071","-1.1","-2.5","-3.6","0.0","1","0","0","0","0"
"456","C.J. Watson","PG","29","IND","63","5","18.9","2.3","5.3",".437","0.8","2.3",".366","1.5","3.0",".492",".516","1.1","1.4",".784","0.3","1.3","1.6","1.7","1.0","0.1","1.0","1.0","6.6","0","13.0",".555",".434",".263","1.9","7.4","4.8","14.4","2.6","0.5","13.9","16.6","1.1","2.1","3.2",".130","-0.3","0.8","0.5","0.7","1","0","0","0","0"
"457","Earl Watson","PG","34","POR","24","0","6.7","0.1","0.5",".273","0.1","0.3",".286","0.0","0.2",".250",".364","0.2","0.2","1.000","0.2","0.4","0.6","1.2","0.2","0.0","0.7","1.4","0.5","0","2.1",".470",".636",".364","3.4","6.6","5.0","22.0","1.6","0.4","57.1","8.1","-0.2","0.1","-0.1","-0.018","-5.1","-0.5","-5.6","-0.1","1","0","0","0","0"
"458","Maalik Wayns","PG","22","LAC","2","0","4.5","0.5","1.0",".500","0.0","0.0",".000","0.5","1.0",".500",".500","0.0","0.0",".000","0.0","1.0","1.0","1.0","1.0","0.0","0.0","2.0","1.0","0","19.3",".500",".000",".000","0.0","23.9","12.3","31.7","11.1","0.0","0.0","9.8","0.0","0.0","0.1",".313","2.0","9.2","11.2","0.0","1","1","0","0","0"
"459","Martell Webster","SF","27","WAS","78","13","27.7","3.3","7.5",".433","1.9","4.8",".392","1.4","2.8",".502",".557","1.3","1.6",".840","0.5","2.4","2.8","1.2","0.5","0.2","0.7","1.9","9.7","0","11.5",".591",".634",".213","2.0","10.1","6.0","6.7","1.0","0.6","8.3","14.7","3.3","1.7","5.0",".112","1.0","-1.1","-0.1","1.0","0","1","1","0","0"
"460","David West","PF","33","IND","80","80","30.9","5.7","11.7",".488","0.1","0.2",".267","5.7","11.6",".491",".490","2.5","3.1",".789","1.5","5.3","6.8","2.8","0.8","0.9","1.7","2.3","14.0","1","17.5",".533",".016",".267","5.7","18.3","12.3","16.1","1.3","2.3","11.2","21.9","3.1","5.0","8.1",".157","-0.6","2.7","2.0","2.5","0","0","0","1","0"
