"Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FGP","TH","THA","THP","TW","TWA","TWP","eFGP","FT","FTA","FTP","ORB","DRB","TRB","AST","STL","BLK","TOV","FOU","PTS","FA","PER","TSP","TPAr","FTr","ORBP","DRBP","TRBP","ASTP","STLP","BLKP","TOVP","USGP","OWS","DWS","WS","WSPFE","OBPM","DBPM","BPM","VORP","PG","SG","SF","PF","C"
"27","Harrison Barnes","SF","24","DAL","12","12","37.8","8.2","17.8",".460","0.9","3.0",".306","7.3","14.8",".492",".486","4.0","4.5",".889","1.2","4.5","5.7","1.0","0.7","0.2","1.4","1.9","21.3","0","17.1",".539",".169",".254","3.3","14.6","8.5","5.6","0.9","0.4","6.7","26.3","0.5","0.4","0.9",".100","-1.4","-1.6","-3.0","-0.1","0","0","1","1","0"
"28","Matt Barnes","SF","36","SAC","14","2","25.3","2.9","7.2",".396","1.5","4.3",".350","1.4","2.9",".463",".500","0.9","1.2",".765","1.0","3.8","4.8","2.3","0.7","0.4","2.0","2.7","8.1","1","9.9",".525",".594",".168","4.7","17.5","11.1","14.2","1.4","1.5","20.5","17.4","-0.1","0.2","0.1",".017","-0.6","0.1","-0.5","0.1","0","1","1","0","0"
"29","Will Barton","SG","26","DEN","4","4","31.3","4.8","10.3",".463","1.3","2.5",".500","3.5","7.8",".452",".524","4.5","5.0",".900","1.0","3.5","4.5","2.3","0.0","0.5","0.8","1.8","15.3","0","17.4",".612",".244",".488","3.6","11.6","7.7","11.5","0.0","1.2","5.7","17.7","0.4","0.1","0.5",".190","1.9","-1.5","0.3","0.1","0","1","1","0","0"
"30","Brandon Bass","PF","31","LAC","8","0","10.0","1.5","2.9",".522","0.1","0.1","1.000","1.4","2.8",".500",".543","0.8","0.8","1.000","0.6","1.1","1.8","0.4","0.1","0.3","0.3","0.8","3.9","1","15.6",".605",".043",".261","7.1","12.1","9.7","5.7","0.6","2.0","7.2","15.3","0.2","0.1","0.3",".188","0.1","0.4","0.6","0.1","0","0","0","1","1"
"31","Nicolas Batum","SG","28","CHO","12","12","34.1","4.7","11.7",".400","2.1","5.8",".357","2.6","5.8",".443",".489","3.2","3.8",".826","0.9","5.8","6.8","5.0","1.3","0.6","2.1","2.0","14.6","0","16.4",".546",".500",".329","2.8","17.9","10.4","22.7","1.9","1.5","13.5","20.0","0.5","0.7","1.2",".138","1.4","1.8","3.3","0.5","0","1","1","0","0"
"32","Aron Baynes","C","30","DET","14","1","16.4","1.9","3.9",".481","0.0","0.0",".000","1.9","3.9",".481",".481","1.2","1.5",".810","1.0","3.2","4.2","0.4","0.4","0.4","0.8","1.8","4.9","1","11.8",".546",".000",".389","6.4","20.7","13.5","3.2","1.3","2.0","14.8","14.5","0.1","0.4","0.5",".102","-4.0","1.8","-2.2","0.0","0","0","0","0","1"
"33","Kent Bazemore","SF","27","ATL","13","13","28.5","4.4","10.5",".416","1.2","3.8",".327","3.2","6.8",".466",".474","2.1","2.5",".844","0.4","2.8","3.2","3.2","1.7","0.8","1.8","2.5","12.1","0","13.5",".520",".358",".234","1.5","10.3","6.1","16.5","2.9","2.1","13.7","20.2","0.2","0.7","0.9",".119","-1.1","2.7","1.6","0.3","0","1","1","0","0"
"34","Bradley Beal","SG","23","WAS","9","9","32.1","6.0","15.3",".391","1.9","5.7",".333","4.1","9.7",".425",".453","3.9","4.4",".875","0.8","1.7","2.4","2.9","1.0","0.7","1.7","2.4","17.8","0","15.9",".514",".370",".290","2.7","6.0","4.3","14.5","1.6","1.8","8.8","25.7","0.4","0.1","0.5",".080","1.7","-2.6","-0.9","0.1","0","1","0","0","0"
"35","Malik Beasley","SG","20","DEN","6","0","5.2","0.8","2.7",".313","0.3","1.0",".333","0.5","1.7",".300",".375","0.2","0.3",".500","0.0","0.3","0.3","0.3","0.0","0.0","0.0","0.3","2.2","0","5.2",".385",".375",".125","0.0","6.7","3.5","10.5","0.0","0.0","0.0","22.8","0.0","0.0","0.0","-0.029","-4.3","-5.1","-9.4","-0.1","1","0","0","0","0"
"36","Michael Beasley","SF","28","MIL","12","0","14.0","3.3","6.4",".506","0.3","0.8",".444","2.9","5.7",".515",".532","1.2","1.8",".636","0.8","2.1","2.8","0.6","0.5","0.2","0.9","1.4","8.0","1","16.8",".554",".117",".286","5.9","15.9","10.9","7.3","1.8","1.0","11.3","25.4","0.1","0.2","0.3",".084","-1.2","-2.8","-3.9","-0.1","0","0","1","1","0"
